Capacitance (F),,,,,,
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad2,R1Pad2
Q0Pad1,1.24E-13,-4.29E-14,-3.83E-15,-2.54E-15,-1.15E-14,-5.00E-17
Q0Pad2,-4.29E-14,1.18E-13,-2.54E-15,-3.87E-15,-1.29E-15,-4.00E-17
Q1Pad1,-3.83E-15,-2.54E-15,1.04E-13,-2.90E-14,-4.00E-17,-6.65E-15
Q1Pad2,-2.54E-15,-3.87E-15,-2.90E-14,1.02E-13,-4.00E-17,-1.22E-15
R0Pad2,-1.15E-14,-1.29E-15,-4.00E-17,-4.00E-17,2.48E-14,0
R1Pad2,-5.00E-17,-4.00E-17,-6.65E-15,-1.22E-15,0,2.36E-14
,,,,,,
Capacitance To Ground (F),,,,,,
Q0Pad1,6.34E-14,,,,,
Q0Pad2,6.73E-14,,,,,
Q1Pad1,6.20E-14,,,,,
Q1Pad2,6.52E-14,,,,,
R0Pad1,7.35E-14,,,,,
R0Pad2,1.20E-14,,,,,
R1Pad1,7.34E-14,,,,,
R1Pad2,1.57E-14,,,,,
